parameter,lower,upper,mean,width,length,model,type,synthetic
Uztwm,30,125,47.5,4,0,sacramento,store,44.13392081
Uzfwm,10,75,42.5,4,0,sacramento,store,52.76175634
Lztwm,20,300,160,4,0,sacramento,store,80.86554526
Lzfpm,40,600,320,4,0,sacramento,store,112.7007654
Lzfsm,15,300,157.5,4,0,sacramento,store,52.80877377
Adimp,0,0.2,0.1,4,0,sacramento,impervious,0.084236329
Uzk,0.2,0.9,0.55,4,0,sacramento,rate,0.490470618
Lzpk,0.001,0.03,0.0155,4,0,sacramento,rate,0.014757322
Lzsk,0.03,0.8,0.415,4,0,sacramento,rate,0.13281171
Zperc,0,80,40,4,0,sacramento,percolate,35.31242251
Rexp,0,5,2.5,4,0,sacramento,percolate,2.532038136
Pctim,0,0.05,0.025,4,0,sacramento,impervious,0.005777836
Pfree,0,0.8,0.4,4,0,sacramento,percolate,0.424439786
Side,0,0.8,0.4,4,0,sacramento,loss,0.009341295
