Parameter,Total_Shapley,High_Shapley,Total_Rank,High_Rank,Rank_Shift,Shapley_Shift,Abs_Shapley_Shift
PFREE,0.00037875780809636854,0.028137812892285518,1,1,0,0.02775905508418915,0.02775905508418915
LZTWM,0.00020910360641446775,0.017164116981856933,2,5,-3,0.016955013375442463,0.016955013375442463
LZPK,0.00014760471761911064,0.018443191237714325,3,3,0,0.018295586520095216,0.018295586520095216
ADIMP,0.00014245545191719254,0.01714146432581628,4,6,-2,0.016999008873899088,0.016999008873899088
LZFSM,0.0001343496802304832,0.023751899565337534,5,2,3,0.02361754988510705,0.02361754988510705
UZTWM,0.00012915376687045715,0.011117796238081911,6,8,-2,0.010988642471211453,0.010988642471211453
LZFPM,9.994689111711935e-05,0.017295668718259667,7,4,3,0.01719572182714255,0.01719572182714255
SIDE,6.535764620985157e-05,0.01617862549699073,8,7,1,0.016113267850780877,0.016113267850780877
LZSK,4.591136706397317e-05,0.006201833219492833,9,10,-1,0.00615592185242886,0.00615592185242886
ZPERC,1.7778477013669458e-05,0.00714294293937408,10,9,1,0.00712516446236041,0.00712516446236041
REXP,1.5223450107077271e-05,0.005190723027619479,11,11,0,0.005175499577512402,0.005175499577512402
UZK,9.459467055765676e-06,0.001530338143384359,12,13,-1,0.0015208786763285934,0.0015208786763285934
UZFWM,7.5210429098812406e-06,0.0010164271035487456,13,14,-1,0.0010089060606388643,0.0010089060606388643
PCTIM,7.254987624052402e-06,0.0020677246786270907,14,12,2,0.0020604696910030383,0.0020604696910030383
